day,dates,races,cities
Saturday,2024-09-07,Whiskey Tango Foxtrot Half Marathon & 5 Mile,"Gibsonville, NC"
Saturday,2024-09-14,Sledgehammer Half Marathon,"North Topsail Beach, NC"
Saturday,2025-01-18,ICY-8 Hour Adventure Trail Run,"Spotsylvania, VA"
Saturday,2025-01-18,Dahlgren Trail Half Marathon,"King George, VA"
Saturday,2025-01-25,One City Marathon,"Newport News, VA"
Saturday,2025-02-01,River City Half and River City 5K,"Richmond, VA"
Saturday,2025-02-15,Coast Guard Marathon,"Elizabeth City, NC"
Sunday,2025-03-02,Rock ‘n' Roll Washinton DC,"Washington, DC"
Saturday,2025-03-08,Shamrock Marathon,"Virginia Beach, VA"
Sunday,2025-03-09,Tobacco Road Marathon,"Cary, NC"
Saturday,2025-03-15,Cary Greenways Half Marathon,"Cary, NC"
Sunday,2025-03-16,Virginia Marathon,"Middleburg, VA"
Sunday,2025-03-16,Charlottesville Marathon,"Charlottesville, VA"
Sunday,2025-03-23,Petersburg Half Marathon,"Petersburg, VA"
Sunday,2025-03-23,April Fools Half Marathon,"Atlantic City, NJ"
Saturday,2025-04-05,Coastal Delaware Running Festival,"Dewey Beach, DE"
Saturday,2025-04-05,Flying Pirate Half Marathon,"Kill Devil Hills, NC"
Sunday,2025-04-06,Park to Park Half Marathon,"Waynesboro, VA"
Sunday,2025-04-13,Blackbeard's Half Marathon,"Ocracoke, NC"
